nawil_kerja,kode_uker,nama_bank,nama_bank_cabang
Semarang,6019,"BANK RAKYAT INDONESIA","PT. BRI CABANG PURWODADI - UNIT KARANGASEM"
Semarang,6019,"BANK RAKYAT INDONESIA","PT. BRI CABANG PURWODADI - UNIT KARANGASEM"
Medan,7438,"BANK RAKYAT INDONESIA","PT. BRI CABANG RANTAU PRAPAT - UNIT PADANG HALABAN RANTAU PRA"
Madiun,6550,"BANK RAKYAT INDONESIA","PT. BRI CABANG TRENGGALEK - UNIT DONGKO"
"DKI Jakarta",7888,"BANK RAKYAT INDONESIA","PT. BRI CABANG BEKASI - UNIT KARANG SATRIA"
"DKI Jakarta",7320,"BANK RAKYAT INDONESIA","PT. BRI CABANG JAKARTA KRAMAT JATI - UNIT TANAH MERDEKA"
Surabaya,7124,"BANK RAKYAT INDONESIA","PT. BRI CABANG SAMPANG - UNIT SEKARMULYA"
Yogyakarta,6987,"BANK RAKYAT INDONESIA","PT. BRI CABANG WONOSARI - UNIT WONOSARI I WONOSARI"
Mamuju,7964,"BANK RAKYAT INDONESIA","PT. BRI CABANG MAMUJU - UNIT BULU MARIO "
Purwokerto,7448,"BANK RAKYAT INDONESIA","PT. BRI CABANG BANJARNEGARA - UNIT PETAMBAKAN "
Semarang,6023,"BANK RAKYAT INDONESIA","PT. BRI CABANG PURWODADI - UNIT PULOKULON"
Solo,6663,"BANK RAKYAT INDONESIA","PT. BRI CABANG BOYOLALI - UNIT CEPOGO"
Banyuwangi,6118,"BANK RAKYAT INDONESIA","PT. BRI CABANG BANYUWANGI - UNIT KABAT"
Kendari,7394,"BANK RAKYAT INDONESIA","PT. BRI CABANG KENDARI - UNIT SARANANI"
"DKI Jakarta",7253,"BANK RAKYAT INDONESIA","PT. BRI CABANG TAMBUN - UNIT PONDOK TIMUR"
Madiun,6344,"BANK RAKYAT INDONESIA","PT. BRI CABANG MADIUN - UNIT PURWOREJO"
Purwokerto,6819,"BANK RAKYAT INDONESIA","PT. BRI CABANG PURBALINGGA - UNIT KUTASARI"
